Source,Target
narendramodi,capt_amarinder
narendramodi,ShelarAshish
narendramodi,raosahebdanve
narendramodi,RahulGandhi
narendramodi,MDoNER_India
narendramodi,DrJitendraSingh
narendramodi,nishikant_dubey
narendramodi,ragarwal
narendramodi,drcpjoshi
narendramodi,milinddeora
narendramodi,Healer_tete
narendramodi,ExSecular
narendramodi,neha_aks
narendramodi,prahladspatel
narendramodi,bjpramswaroop
narendramodi,arjunrammeghwal
narendramodi,ahmedpatel
narendramodi,adhia03
narendramodi,NalinSKohli
narendramodi,Medha_kulkarni
narendramodi,madhurimisal
narendramodi,AnilShiroleBJP
narendramodi,DrPremKrBihar
narendramodi,AshwiniKChoubey
narendramodi,IndiaHistorypic
narendramodi,SinghRPN
narendramodi,CMofKarnataka
narendramodi,NitishKumar
narendramodi,yschowdary
narendramodi,santoshgangwar
narendramodi,KirenRijiju
narendramodi,TCGEHLOT
narendramodi,OpIndia_com
narendramodi,RealHistoryPic
narendramodi,PawarSpeaks
narendramodi,anirbanganguly
narendramodi,MinistryWCD
narendramodi,nstomar
narendramodi,nheptulla
narendramodi,Manekagandhibjp
narendramodi,supriya_sule
narendramodi,praful_patel
narendramodi,VoiceOfAxom
narendramodi,drrajdeeproy
narendramodi,SBhttachrya
narendramodi,JM_Scindia
narendramodi,jviplav
narendramodi,upadhyaysbjp
narendramodi,ManojTiwariMP
narendramodi,PoonambenMaadam
narendramodi,SitaramYechury
narendramodi,dr_maheshsharma
narendramodi,HariBabuBJP
narendramodi,rssurjewala
narendramodi,ajaymaken
narendramodi,digvijaya_28
narendramodi,shaksingh
narendramodi,ShashiTharoor
narendramodi,BSYBJP
narendramodi,OmarAbdullah
narendramodi,DrAMSinghvi
narendramodi,ChBirenderSingh
narendramodi,Rao_InderjitS
narendramodi,ArvindKejriwal
narendramodi,ShobhaBJP
narendramodi,msisodia
narendramodi,ysjagan
narendramodi,Naveen_Odisha
narendramodi,yadavakhilesh
narendramodi,ManojGoelBJP
narendramodi,Tejasvi_Surya
narendramodi,jawaharyadavbjp
narendramodi,SwarajyaMag
narendramodi,laluprasadrjd
narendramodi,yadavtejashwi
narendramodi,shantakumarbjp
narendramodi,Gupta_vijender
narendramodi,Dr_Uditraj
narendramodi,KirronKherBJP
narendramodi,HariManjhi
